,text,initial_label,data_type
0,K_KuWoNLLQDa@Ygog.net,1,email
1,HYksVExW9_Th@Cz2ZfBhrjUzFFTtA2yqe4I8p.net,1,email
2,Z4CUJn_greY4UV6ZcsU1@DHqGIO4EVpv7WglCpiWopyVpsjrjVG.xyz,1,email
3,Gy-28NbfxS9avw@696P1hD.co.uk,1,email
4,UVICdMaOk@r2I9zlVzFeJTa6pOQ7NeGz.com,1,email
5,zo@5HmueQwreaK9k1B2eZA8L1s6a.co.id,1,email
6,_ipliNgb.@0aebz1GlTeKAU1gVrKu1cuIZr.org,1,email
7,c@0Yl6CiO6DbEB.us,1,email
8,PY9j69eJHyWCl@cWqHbw2sxiBgkA6lml5Rubll.biz,1,email
9,sTT8vJi@p9Ldng00mJi92wF2DVnT.us,1,email
10,cTEl69@dWjkoKzg.us,1,email
11,nzr_E@SB9xoivF.com,1,email
12,Pb@vWtsObHtwWnod2yIY.edu,1,email
13,EMYpNzp2n-x@MgCJ0mZ19CKGtS8WFqIkE7Oh6gK2.edu,1,email
14,K@D.xyz,1,email
15,NJrmPVchCofRTgtd8@-VReGf.com,1,email
16,6sm1ffvzs0-AzSkN@3OXdZC8Jb6Pd-0QgANTkeO.biz,1,email
17,0ymX@N.co.id,1,email
18,StGZ_u@kUBdEXZOP6nLsfx5V8Pqih4eu.biz,1,email
19,Rcq2w76@0Xes1-2mu.my,1,email
20,MqRM5Gx@2Eg.my,1,email
21,PIeB8@4LnnN-Ykn80hGXz45IdymGD2eCj.net,1,email
22,AwhAg3k@DFvosukGCq9QFpB.org,1,email
23,oMkaq2fM4VXCnsYiUT@2D9Z2LG6St.my,1,email
24,tFQtDsi8MO_Az7G@aLMxmb8x9lOB9ErdDVTY.edu,1,email
25,g3ajx1Vjt@eFZdp6O9z3LkuWr7ZD0c.gov,1,email
26,azHSwD2YNCp_S.@OJvHDYxE4bA.xyz,1,email
27,XJb880D4@85R7DE3VUqh3yXM.net,1,email
28,t8yv.eYznfKP5RgKdj1_@8jgEifth.co.uk,1,email
29,lfq_KFHVagrr2@IxuD4LotifGmGvCVAR2ydqE.xyz,1,email
30,XRgxrqw8iJ4CI3T3SiEA@GUW75m0czheO828MiDtsJO0ej8AhR.edu,1,email
31,jkWQT7@EvhEoLnXrPMs.co.id,1,email
32,78pyTA6yz7VDa9eK5mt@TEKNuar7R8zRb0T4h9q1rYh.info,1,email
33,lndDpIg.Z0b3bied6r@kBPLS3TK7TH3dmZ7nOz7XEUD.us,1,email
34,iiBnU6@QVYIo8Mt38wjQQ7Eqj6jfq1.gov,1,email
35,D0PPkWH@Efv8Nx6xyRt-0.xyz,1,email
36,4@lW8E222sXMz.net,1,email
37,aSM7mC0@YzamUEB8G2uUk3Ayg3a8ArEWX.my,1,email
38,UhgJ9fS@JqBV7hD-BbhpzsN6W7MSRiA7Iec.gov,1,email
39,Z90q93o_@h.net,1,email
40,V.N2ehX.k@e40LnbCbhwIFWjDQNqgouwwTG.co.id,1,email
41,tmSFVkyUIi6V@yF5g8-.net,1,email
42,rrND3xmlZ-3AYY_zHdw@UVaCIoJH-AAzhX7LQwbAyUSe.co.uk,1,email
43,sABZJN6@QX5pFO0mCYnPObrzSPHlsToKabj1.us,1,email
44,mtctQTWEVVovgdotdLvv@uq-ii2KYqLUj6smSxjjF0n.org,1,email
45,sIsENj4pF2BLbJ8@DU2jiTnt5D.net,1,email
46,F4bOYIYjPBgcwE@cg9XTyiXAs77U0wX6MANo6QjSIk8H8.info,1,email
47,Fjo@I1FdFPFE1tyR.co.uk,1,email
48,C3ikaQx6FtPE8@IO3RrUZBohgj5AP7jKaD6HDh.xyz,1,email
49,.jbGRQVQj9@R-CUPS9.net,1,email
50,ki.vjZ.eANXly3wp5ao@YpxFg5m.info,1,email
51,aJ1aLbPCZ@2chrCrBGaGf7vhNPtg13.biz,1,email
52,FXtslxK-@h.gov,1,email
53,9zwzMc@Sy0bGZsM8bw.us,1,email
